phi_deg,psi_deg,r_pitch,r_profile,alpha_deg
175.5000,15.3587,76.7150,65.5228,11.1523
176.0000,15.5099,76.9368,65.6985,10.4572
176.5000,15.6568,77.1524,65.8688,9.7604
177.0000,15.7994,77.3615,66.0337,9.0627
177.5000,15.9376,77.5643,66.1932,8.3651
178.0000,16.0715,77.7605,66.3475,7.6686
178.5000,16.2010,77.9502,66.4966,6.9741
179.0000,16.3260,78.1334,66.6405,6.2825
179.5000,16.4465,78.3100,66.7792,5.5947
180.0000,16.5626,78.4799,66.9129,4.9118
180.5000,16.6743,78.6433,67.0415,4.2347
181.0000,16.7814,78.8001,67.1652,3.5641
181.5000,16.8841,78.9504,67.2839,2.9012
182.0000,16.9824,79.0941,67.3977,2.2466
182.5000,17.0762,79.2314,67.5067,1.6013
183.0000,17.1657,79.3621,67.6109,0.9662
183.5000,17.2508,79.4866,67.7104,0.3419
184.0000,17.3316,79.6047,67.8053,0.2707
184.5000,17.4082,79.7165,67.8955,0.8708
185.0000,17.4805,79.8222,67.9811,1.4577
185.5000,17.5488,79.9219,68.0623,2.0308
186.0000,17.6129,80.0156,68.1390,2.5894
186.5000,17.6731,80.1035,68.2113,3.1328
187.0000,17.7294,80.1857,68.2793,3.6605
187.5000,17.7819,80.2623,68.3431,4.1719
188.0000,17.8307,80.3334,68.4027,4.6665
188.5000,17.8758,80.3993,68.4583,5.1438
189.0000,17.9174,80.4601,68.5098,5.6033
189.5000,17.9557,80.5158,68.5575,6.0446
190.0000,17.9906,80.5668,68.6014,6.4673
190.5000,18.0224,80.6132,68.6415,6.8711
191.0000,18.0512,80.6551,68.6781,7.2556
191.5000,18.0770,80.6928,68.7112,7.6204
192.0000,18.1001,80.7265,68.7410,7.9654
192.5000,18.1206,80.7563,68.7676,8.2903
193.0000,18.1385,80.7825,68.7912,8.5949
193.5000,18.1542,80.8053,68.8118,8.8789
194.0000,18.1676,80.8250,68.8297,9.1422
194.5000,18.1790,80.8416,68.8449,9.3847
195.0000,18.1886,80.8555,68.8578,9.6062
195.5000,18.1964,80.8670,68.8685,9.8066
196.0000,18.2027,80.8761,68.8771,9.9859
196.5000,18.2076,80.8833,68.8838,10.1441
197.0000,18.2113,80.8887,68.8890,10.2810
197.5000,18.2140,80.8925,68.8927,10.3967
198.0000,18.2158,80.8951,68.8952,10.4913
198.5000,18.2168,80.8967,68.8967,10.5647
199.0000,18.2174,80.8975,68.8975,10.6170
199.5000,18.2176,80.8978,68.8978,10.6482
200.0000,18.2176,80.8979,68.8979,10.6604
200.5000,18.2176,80.8979,68.8979,0.0000
201.0000,18.2176,80.8979,68.8979,0.0000
201.5000,18.2176,80.8979,68.8979,0.0000
202.0000,18.2176,80.8979,68.8979,0.0000
202.5000,18.2176,80.8979,68.8979,0.0000
203.0000,18.2176,80.8979,68.8979,0.0000
203.5000,18.2176,80.8979,68.8979,0.0000
204.0000,18.2176,80.8979,68.8979,0.0000
204.5000,18.2176,80.8979,68.8979,0.0000
205.0000,18.2176,80.8979,68.8979,0.0000
205.5000,18.2176,80.8979,68.8979,0.0000
206.0000,18.2176,80.8979,68.8979,0.0000
206.5000,18.2176,80.8979,68.8979,0.0000
207.0000,18.2176,80.8979,68.8979,0.0000
207.5000,18.2176,80.8979,68.8979,0.0000
208.0000,18.2176,80.8979,68.8979,0.0000
208.5000,18.2176,80.8979,68.8979,0.0000
209.0000,18.2176,80.8979,68.8979,0.0000
209.5000,18.2176,80.8979,68.8979,0.0000
210.0000,18.2176,80.8979,68.8979,0.0000
210.5000,18.2176,80.8979,68.8979,0.0000
211.0000,18.2176,80.8979,68.8979,0.0000
211.5000,18.2176,80.8979,68.8979,0.0000
212.0000,18.2176,80.8979,68.8979,0.0000
212.5000,18.2176,80.8979,68.8979,0.0000
213.0000,18.2176,80.8979,68.8979,0.0000
213.5000,18.2176,80.8979,68.8979,0.0000
214.0000,18.2176,80.8979,68.8979,0.0000
214.5000,18.2176,80.8979,68.8979,0.0000
215.0000,18.2176,80.8979,68.8979,0.0000
215.5000,18.2176,80.8979,68.8979,0.0000
216.0000,18.2176,80.8979,68.8979,0.0000
216.5000,18.2176,80.8979,68.8979,0.0000
217.0000,18.2176,80.8979,68.8979,0.0000
217.5000,18.2176,80.8979,68.8979,0.0000
218.0000,18.2176,80.8979,68.8979,0.0000
218.5000,18.2176,80.8979,68.8979,0.0000
219.0000,18.2176,80.8979,68.8979,0.0000
219.5000,18.2176,80.8979,68.8979,0.0000
220.0000,18.2176,80.8979,68.8979,0.0000
220.5000,18.2176,80.8979,68.8979,0.0000
221.0000,18.2176,80.8979,68.8979,0.0000
221.5000,18.2176,80.8979,68.8979,0.0000
222.0000,18.2176,80.8979,68.8979,0.0000
222.5000,18.2176,80.8979,68.8979,0.0000
223.0000,18.2176,80.8979,68.8979,0.0000
223.5000,18.2176,80.8979,68.8979,0.0000
224.0000,18.2176,80.8979,68.8979,0.0000
224.5000,18.2176,80.8979,68.8979,0.0000
225.0000,18.2176,80.8979,68.8979,0.0000
225.5000,18.2176,80.8979,68.8979,0.0000
226.0000,18.2176,80.8979,68.8979,0.0000
226.5000,18.2176,80.8979,68.8979,0.0000
227.0000,18.2176,80.8979,68.8979,0.0000
227.5000,18.2176,80.8979,68.8979,0.0000
228.0000,18.2176,80.8979,68.8979,0.0000
228.5000,18.2176,80.8979,68.8979,0.0000
229.0000,18.2176,80.8979,68.8979,0.0000
229.5000,18.2176,80.8979,68.8979,0.0000
230.0000,18.2176,80.8979,68.8979,0.0000
230.5000,18.2176,80.8979,68.8979,0.0000
231.0000,18.2176,80.8979,68.8979,0.0000
231.5000,18.2176,80.8979,68.8979,0.0000
232.0000,18.2176,80.8979,68.8979,0.0000
232.5000,18.2176,80.8979,68.8979,0.0000
233.0000,18.2176,80.8979,68.8979,0.0000
233.5000,18.2176,80.8979,68.8979,0.0000
234.0000,18.2176,80.8979,68.8979,0.0000
234.5000,18.2176,80.8979,68.8979,0.0000
235.0000,18.2176,80.8979,68.8979,0.0000
235.5000,18.2176,80.8979,68.8979,0.0000
236.0000,18.2176,80.8979,68.8979,0.0000
236.5000,18.2176,80.8979,68.8979,0.0000
237.0000,18.2176,80.8979,68.8979,0.0000
237.5000,18.2176,80.8979,68.8979,0.0000
238.0000,18.2176,80.8979,68.8979,0.0000
238.5000,18.2176,80.8979,68.8979,0.0000
239.0000,18.2176,80.8979,68.8979,0.0000
239.5000,18.2176,80.8979,68.8979,0.0000
240.0000,18.2176,80.8979,68.8979,10.6692
240.5000,18.2175,80.8977,68.8977,10.7187
241.0000,18.2167,80.8965,68.8965,10.8454
241.5000,18.2144,80.8932,68.8935,11.0549
242.0000,18.2100,80.8867,68.8877,11.3457
242.5000,18.2027,80.8761,68.8786,11.7154
243.0000,18.1919,80.8604,68.8653,12.1616
243.5000,18.1769,80.8385,68.8475,12.6811
244.0000,18.1570,80.8095,68.8247,13.2707
244.5000,18.1316,80.7725,68.7963,13.9266
245.0000,18.1001,80.7265,68.7622,14.6446
245.5000,18.0618,80.6707,68.7219,15.4202
246.0000,18.0163,80.6043,68.6752,16.2488
246.5000,17.9629,80.5264,68.6218,17.1253
247.0000,17.9012,80.4364,68.5614,18.0446
247.5000,17.8307,80.3334,68.4938,19.0011
248.0000,17.7509,80.2170,68.4186,19.9895
248.5000,17.6614,80.0864,68.3355,21.0041
249.0000,17.5619,79.9411,68.2443,22.0394
249.5000,17.4521,79.7807,68.1444,23.0899
250.0000,17.3316,79.6047,68.0354,24.1501
250.5000,17.2003,79.4127,67.9169,25.2148
251.0000,17.0578,79.2044,67.7884,26.2789
251.5000,16.9041,78.9797,67.6494,27.3376
252.0000,16.7391,78.7382,67.4994,28.3864
252.5000,16.5626,78.4799,67.3379,29.4211
253.0000,16.3747,78.2048,67.1643,30.4376
253.5000,16.1754,77.9128,66.9782,31.4325
254.0000,15.9648,77.6040,66.7792,32.4025
254.5000,15.7428,77.2786,66.5669,33.3447
255.0000,15.5099,76.9368,66.3408,34.2565
255.5000,15.2660,76.5788,66.1009,35.1356
256.0000,15.0115,76.2051,65.8467,35.9800
256.5000,14.7466,75.8158,65.5782,36.7880
257.0000,14.4717,75.4117,65.2953,37.5581
257.5000,14.1871,74.9931,64.9979,38.2890
258.0000,13.8933,74.5606,64.6863,38.9797
258.5000,13.5907,74.1150,64.3604,39.6292
259.0000,13.2797,73.6567,64.0205,40.2367
259.5000,12.9609,73.1867,63.6670,40.8015
260.0000,12.6348,72.7057,63.3001,41.3230
260.5000,12.3020,72.2145,62.9201,41.8007
261.0000,11.9630,71.7140,62.5277,42.2340
261.5000,11.6186,71.2051,62.1233,42.6224
262.0000,11.2692,70.6887,61.7073,42.9654
262.5000,10.9157,70.1659,61.2805,43.2625
263.0000,10.5586,69.6376,60.8433,43.5131
263.5000,10.1986,69.1049,60.3964,43.7165
264.0000,9.8366,68.5688,59.9404,43.8720
264.5000,9.4730,68.0304,59.4760,43.9788
265.0000,9.1088,67.4908,59.0037,44.0359
265.5000,8.7446,66.9510,58.5244,44.0425
266.0000,8.3811,66.4122,58.0385,43.9974
266.5000,8.0190,65.8753,57.5468,43.8993
267.0000,7.6590,65.3415,57.0497,43.7468
267.5000,7.3020,64.8119,56.5480,43.5385
268.0000,6.9484,64.2874,56.0421,43.2728
268.5000,6.5991,63.7692,55.5327,42.9478
269.0000,6.2546,63.2582,55.0202,42.5618
269.5000,5.9156,62.7553,54.5051,42.1127
270.0000,5.5828,62.2616,53.9881,41.5985
270.5000,5.2567,61.7779,53.4695,41.0171
271.0000,4.9379,61.3050,52.9498,40.3663
271.5000,4.6269,60.8438,52.4295,39.6440
272.0000,4.3243,60.3951,51.9092,38.8481
272.5000,4.0305,59.9595,51.3895,37.9766
273.0000,3.7459,59.5377,50.8708,37.0278
273.5000,3.4710,59.1304,50.3541,36.0002
274.0000,3.2062,58.7380,49.8400,34.8927
274.5000,2.9516,58.3610,49.3296,33.7049
275.0000,2.7078,57.9999,48.8239,32.4367
275.5000,2.4748,57.6550,48.3242,31.0891
276.0000,2.2529,57.3267,47.8319,29.6638
276.5000,2.0422,57.0150,47.3487,28.1638
277.0000,1.8429,56.7202,46.8765,26.5932
