phi_deg,理论_x,理论_y,实际_x,实际_y,z
279.0,-82.4318,103.2593,-82.7908,91.2647,0
279.5,-81.0560,103.2217,-81.3507,91.2254,0
280.0,-79.6952,103.1923,-79.9171,91.1944,0
280.5,-78.3499,103.1719,-78.4904,91.1728,0
281.0,-77.0205,103.1613,-77.0711,91.1614,0
281.5,-75.7071,103.1610,-75.6596,91.1611,0
282.0,-74.4101,103.1718,-74.2562,91.1728,0
282.5,-73.1296,103.1942,-72.8612,91.1972,0
283.0,-71.8658,103.2289,-71.4751,91.2352,0
283.5,-70.6187,103.2762,-70.0981,91.2875,0
284.0,-69.3883,103.3366,-68.7306,91.3546,0
284.5,-68.1744,103.4105,-67.3729,91.4373,0
285.0,-66.9771,103.4981,-66.0253,91.5359,0
285.5,-65.7960,103.5998,-64.6884,91.6510,0
286.0,-64.6310,103.7156,-63.3624,91.7829,0
286.5,-63.4817,103.8458,-62.0480,91.9318,0
287.0,-62.3477,103.9904,-60.7454,92.0978,0
287.5,-61.2286,104.1493,-59.4553,92.2811,0
288.0,-60.1239,104.3226,-58.1782,92.4814,0
288.5,-59.0331,104.5100,-56.9146,92.6985,0
289.0,-57.9556,104.7114,-55.6653,92.9320,0
289.5,-56.8908,104.9264,-54.4306,93.1813,0
290.0,-55.8380,105.1548,-53.2113,93.4458,0
290.5,-54.7965,105.3960,-52.0078,93.7245,0
291.0,-53.7657,105.6497,-50.8207,94.0166,0
291.5,-52.7447,105.9152,-49.6505,94.3210,0
292.0,-51.7328,106.1919,-48.4974,94.6363,0
292.5,-50.7291,106.4792,-47.3619,94.9613,0
293.0,-49.7330,106.7762,-46.2443,95.2945,0
293.5,-48.7435,107.0822,-45.1446,95.6346,0
294.0,-47.7599,107.3961,-44.0629,95.9798,0
294.5,-46.7814,107.7172,-42.9993,96.3288,0
295.0,-45.8071,108.0442,-41.9537,96.6798,0
295.5,-44.8363,108.3763,-40.9259,97.0313,0
296.0,-43.8682,108.7121,-39.9158,97.3817,0
296.5,-42.9020,109.0505,-38.9230,97.7294,0
297.0,-41.9371,109.3903,-37.9473,98.0730,0
297.5,-40.9727,109.7302,-36.9884,98.4109,0
298.0,-40.0082,110.0688,-36.0460,98.7418,0
298.5,-39.0429,110.4047,-35.1196,99.0642,0
299.0,-38.0764,110.7365,-34.2091,99.3768,0
299.5,-37.1080,111.0629,-33.3140,99.6784,0
300.0,-36.1373,111.3822,-32.4341,99.9679,0
300.5,-35.1640,111.6933,-31.5604,100.2472,0
